year,tourney_name,spectators
2016,Gyor $10K,6119
2016,Santa Margherita Di Pula $25K,6001
2016,Cincinnati Masters,5933
2016,Cincinnati,5933
2016,Perth $25K,5916
2016,Grand Baie La Croisette $10K,5881
2016,Shanghai Masters,5798
2016,Tokyo,5748
2016,Charleston,5728
2016,Prague $10K,5671
2016,Monte Carlo Masters,5638
2016,Canada Masters,5547
2016,Brisbane,5462
2016,Rome CH,5441
2016,Santiago CH,5210
2016,Winston-Salem,5202
2016,Stuttgart,5180
2016,Moscow,5148
2016,Lagos $25K,5132
2016,Manerbio CH,4993
2016,Auckland,4943
2016,Guangzhou CH,4904
2016,Santiago $10K,4890
2016,Gstaad,4887
2016,Nuernberg $10K,4803
2016,Trnava $10K,4735
2016,Irapuato $25K,4712
2016,Kashiwa $25K,4710
2016,Acapulco,4694
2016,Scottsdale AZ $50K,4662
2016,Osprey FL $50K,4658
2016,Loughborough $10K,4622
2016,Cantanhede $10K,4616
2016,Hamamatsu $25K,4611
2016,Hong Kong $10K,4536
2016,Manila CH,4533
2016,Perigueux $25K,4522
2016,Launceston $75K,4520
2016,Stockholm,4518
2016,Bergamo CH,4499
2016,Goyang $25K,4487
2016,Surbiton $50K,4468
2016,Pune $10K,4444
2016,Saint Gervais $10K,4422
2016,Palmanova $10K,4363
2016,Landisville PA $25K,4361
2016,Darmstadt $25K,4352
2016,St Remy de Provence CH,4341
2016,Batumi $10K,4337
2016,Tashkent,4331
2016,Suzhou CH,4321
2016,Sofia $25K,4294
2016,Anning $100K,4281
2016,Mestre CH,4277
2016,Campos Do Jordao $25K,4267
2016,Karshi CH,4264
2016,Ricany $10K,4263
2016,Monzon $10K,4241
2016,Tianjin $50K,4225
2016,Mallorca,4223
2016,Caslano $10K,4218
2016,St. Brieuc CH,4213
2016,Macon $10K,4207
2016,Akko $10K,4201
2016,Daytona Beach FL $25K,4197
2016,Budapest CH,4182
2016,Como CH,4163
2016,Petange $10K,4152
2016,Madrid Masters,4151
2016,Madrid,4151
2016,Tweed Heads $25K,4135
2016,Sheffield $10K,4123
2016,Kharkiv $25K,4123
2016,Seville CH,4111
2016,Honolulu,4108
2016,Launceston CH,4105
2016,Mexico City $10K,4099
2016,Dallas CH,4095
2016,Anning CH,4095
2016,Sharm El Sheikh $100K,4093
2016,Macon GA $50K,4090
2016,Limoges,4086
2016,Santa Cruz $10K,4084
2016,Napoli CH,4068
2016,Zhuhai CH,4066
2016,Cali CH,4059
2016,Joue Les Tours $50K,4058
2016,Maaseik $10K,4054
2016,Gatineau CH,4048
2016,Montevideo CH,4041
2016,Quanzhou $50K,4036
2016,Plzen $25K,4030
2016,Curitiba $25K,4026
2016,Knoxville CH,4022
2016,Zhuhai $50K,4009
2016,Portoroz CH,4002
2016,Velenje $10K,3996
2016,Szczawno Zdroj $10K,3966
2016,Delray Beach,3954
2016,Marrakech,3951
2016,Kaohsiung CH,3935
2016,Medellin CH,3933
2016,Nurnberg,3933
2016,Recanati CH,3929
2016,Hong Kong,3913
2016,Helsinki $10K,3909
2016,Cagnes Sur Mer $100K,3909
2016,Bucha $25K,3908
2016,Medellin $10K,3908
2016,Middelburg $25K,3905
2016,Barletta CH,3900
2016,Dijon $10K,3899
2016,Rio de Janeiro CH,3896
2016,Zhengzhou $50K,3890
2016,Quimper CH,3885
2016,Milan CH,3884
2016,Bastad CH,3867
2016,Fairfield CH,3859
2016,Sunrise FL $25K,3855
2016,Gatineau $25K,3855
2016,Bertioga $25K,3832
2016,Szeged $50K,3831
2016,Biella CH,3829
2016,Kazan CH,3824
2016,Saint Martin Guadeloupe $10K,3824
2016,Aix en Provence CH,3810
2016,Qingdao CH,3799
2016,Rabat,3781
2016,Vrnjacka Banja $10K,3778
2016,Roehampton $10K,3765
2016,Monterrey CH,3762
2016,Los Cabos,3760
2016,Savitaipale $10K,3756
2016,Hobart,3750
2016,Aurangabad $25K,3745
2016,Kreuzlingen $50K,3743
2016,Shenzhen CH,3738
2016,Luxembourg,3735
2016,Kaltenkirchen $10K,3729
2016,Tampico $50K,3726
2016,Amiens $10K,3725
2016,Puebla $25K,3723
2016,Chengdu,3722
2016,San Benedetto del Tronto CH,3717
2016,Istanbul $50K,3717
2016,Traralgon CH,3710
2016,Nashville TN $25K,3710
2016,Dobrich $25K,3706
2016,Bol,3705
2016,Horb $25K,3705
2016,Kaohsiung,3704
2016,Naiman $25K,3699
2016,Navi Mumbai $25K,3698
2016,Clermont Ferrand $25K,3694
2016,Cherbourg CH,3688
2016,Stockton CH,3688
2016,Geneva,3686
2016,Ramat Hasharon $10K,3682
2016,Arad $10K,3676
2016,Rotterdam $10K,3663
2016,Chennai,3662
2016,Bagnatica $25K,3662
2016,Fano CH,3661
2016,Almaty $25K,3653
2016,Toyota $50K,3649
2016,Waco TX $50K,3640
2016,Austin TX $10K,3632
2016,Mamaia $25K,3631
2016,Quito,3630
2016,Redding CA $25K,3623
2016,Winnipeg $25K,3621
2016,Pune CH,3614
2016,Braunschweig $25K,3612
2016,New Haven,3602
2016,Villa del Dique $10K,3592
2016,Noumea CH,3587
2016,Guayaquil CH,3584
2016,Mohammedia CH,3581
2016,Karuizawa $25K,3579
2016,Jackson MS $25K,3575
2016,Genova CH,3572
2016,Scheveningen CH,3571
2016,Campinas $25K,3569
2016,Cali $10K,3561
2016,Bendigo $50K,3555
2016,Brescia CH,3552
2016,Chengdu CH,3551
2016,Valencia $25K,3551
2016,Guangzhou,3549
2016,Sumter SC $25K,3545
2016,Santiago $25K,3543
2016,Furth CH,3539
2016,Marburg CH,3538
2016,Blois CH,3537
2016,Valladolid $10K,3537
2016,Bucharest $10K,3536
2016,Rome $50K,3535
2016,Alkmaar $10K,3533
2016,Tokyo $25K,3532
2016,Brno $10K,3531
2016,Khimki $10K,3531
2016,Braunschweig CH,3522
2016,Barcelona $25K,3520
2016,Brescia $50K,3512
2016,Rancho Santa Fe CA $25K,3511
2016,Brussels $10K,3511
2016,Tunis $50K,3508
2016,Porto $10K,3505
2016,Sibiu CH,3502
2016,Castellon $10K,3501
2016,Manchester CH,3490
2016,Lexington CH,3488
2016,Nottingham $10K,3487
2016,Incheon $25K,3472
2016,Aptos CH,3468
2016,Jonkoping CH,3466
2016,Sofia,3462
2016,Ortisei CH,3453
2016,Nules $10K,3447
2016,Fort Worth TX $25K,3444
2016,Slovenska Lupca $10K,3444
2016,Villa Maria $10K,3443
2016,Gonesse $10K,3442
2016,La Bisbal $10K,3441
2016,Stillwater OK $25K,3441
2016,Meerbusch CH,3439
2016,Savannah CH,3434
2016,Prague,3433
2016,Grenoble $25K,3430
2016,Kazan $10K,3430
2016,Torun $25K,3430
2016,Tampere $10K,3429
2016,Bukfurdo $25K,3424
2016,Le Gosier CH,3419
2016,Gyor $25K,3409
2016,Wirral $10K,3397
2016,Petit Bourg Guadeloupe $10K,3395
2016,Koksijde $25K,3395
2016,Ankara $50K,3395
2016,Sion $10K,3395
2016,Don Benito Badajoz $10K,3392
2016,Chenzhou $25K,3391
2016,Shrewsbury $10K,3388
2016,Surprise AZ $25K,3387
2016,Cucuta $10K,3377
2016,Gimcheon CH,3375
2016,San Luis Potosi CH,3372
2016,Buenos Aires $10K,3368
2016,Pereira $10K,3366
2016,Aprilia $10K,3363
2016,Trnava CH,3363
2016,Ostrava CH,3358
2016,Sangju $10K,3358
2016,Leon CH,3357
2016,Tianjin,3357
2016,Cuernavaca $25K,3357
2016,Tampere CH,3355
2016,Vicenza CH,3348
2016,Saint Malo $50K,3337
2016,Montpellier,3328
2016,Atlanta,3326
2016,Shenzhen $100K,3325
2016,Oldenzaal $10K,3324
2016,Kiryat Gat $10K,3317
2016,Graz $10K,3315
2016,Strasbourg,3308
2016,Munich,3300
2016,Tarragona $10K,3297
2016,El Espinar Segovia $10K,3296
2016,Taipei CH,3296
2016,Busan CH,3291
2016,Vinkovci $10K,3289
2016,Shanghai CH,3287
2016,La Marsa $25K,3287
2016,Halle,3279
2016,Biarritz $100K,3277
2016,Nanning $25K,3275
2016,Djibouti $10K,3270
2016,Newport,3269
2016,Caserta $25K,3268
2016,Puszczykowo $10K,3268
2016,Telde $10K,3265
2016,Barranquilla CH,3260
2016,Warsaw $10K,3256
2016,Marseille $100K,3256
2016,Oeiras $10K,3255
2016,Drummondville CH,3255
2016,Brisbane $25K,3251
2016,Nanchang CH,3234
2016,Croissy Beaubourg $50K,3233
2016,Ilkley $50K,3232
2016,Guadalajara CH,3231
2016,Queen's Club,3229
2016,Tokyo $100K,3228
2016,Oslo $10K,3225
2016,Mildura $25K,3224
2016,Wiesbaden $25K,3221
2016,Kuala Lumpur,3221
2016,Charlottesville CH,3220
2016,Charlottesville VA $50K,3220
2016,Vinaros $10K,3214
2016,Winnetka CH,3213
2016,Sunderland $10K,3212
2016,Astana $25K,3211
2016,Orlando FL $10K,3207
2016,Houston,3200
2016,Westende $25K,3199
2016,Kitzbuhel,3195
2016,Ismaning $10K,3191
2016,Izmir CH,3188
2016,Banja Luka CH,3187
2016,Telavi $25K,3184
2016,Andrezieux Boutheon $50K,3184
2016,Kofu $25K,3183
2016,Indian Harbour Beach FL $75K,3180
2016,Seoul,3170
2016,Binghamton CH,3169
2016,Kobe CH,3168
2016,Essen $50K,3166
2016,Saguenay $50K,3166
2016,Karshi $25K,3164
2016,New Delhi $25K,3164
2016,Bucha $10K,3163
2016,Charleston SC $10K,3162
2016,Jakarta $10K,3162
2016,Monterrey,3155
2016,Chiasso $25K,3148
2016,Heilbronn CH,3145
2016,Albuquerque NM $75K,3145
2016,Caltanissetta CH,3140
2016,Ortisei $10K,3139
2016,Noto $25K,3137
2016,Altenkirchen $25K,3128
2016,Leon $10K,3128
2016,Poznan CH,3123
2016,Hong Kong $25K,3122
2016,Eckental CH,3121
2016,Prerov $10K,3116
2016,Suzhou $50K,3104
2016,Bethany Beach DE $10K,3102
2016,Basel,3099
2016,Perugia CH,3098
2016,Buffalo NY $10K,3093
2016,Saint Gaudens $50K,3092
2016,Alphen aan den Rijn CH,3090
2016,Tarvisio $10K,3085
2016,Sao Jose Dos Campos $10K,3081
2016,Kyoto $10K,3080
2016,Vienna $10K,3078
2016,Fergana CH,3074
2016,Toyota CH,3070
2016,Ho Chi Minh CH,3062
2016,Wanfercee Baulet $10K,3060
2016,Istanbul CH,3057
2016,Nice,3056
2016,Rebecq $10K,3056
2016,Bauru $10K,3053
2016,Toowoomba $25K,3047
2016,San Antonio,3044
2016,Knokke $10K,3035
2016,Getxo $10K,3034
2016,Baton Rouge LA $25K,3028
2016,Dalian,3026
2016,Kenitra CH,3019
2016,Qujing $25K,3007
2016,Buca Izmir $10K,3003
2016,Lahaina CH,3002
2016,Sacramento CA $50K,2996
2016,Champaign CH,2996
2016,Grado $25K,2996
2016,Victoria BC $10K,2988
2016,Weston FL $10K,2985
2016,Le Havre $10K,2979
2016,Engis $10K,2969
2016,Changwon $25K,2962
2016,Eastbourne $50K,2957
2016,Pelham AL $25K,2955
2016,Shenzhen $50K,2952
2016,Namangan $25K,2949
2016,Amstelveen $10K,2946
2016,Surbiton CH,2938
2016,New Delhi CH,2935
2016,Torino $25K,2933
2016,Memphis,2930
2016,Lisbon $10K,2927
2016,Guaruja $25K,2926
2016,Bogota CH,2926
2016,Yuxi $25K,2925
2016,Estoril,2912
2016,Nishi Tama $10K,2912
2016,Ystad $25K,2911
2016,Palic $10K,2908
2016,Umag,2903
2016,Santo Domingo CH,2902
2016,Florianopolis,2900
2016,Lins $10K,2895
2016,Poertschach $10K,2894
2016,Seoul CH,2891
2016,Rotterdam,2882
2016,Granby $50K,2875
2016,Ashkelon $10K,2872
2016,Toronto $50K,2855
2016,Turino CH,2851
2016,Versmold $50K,2848
2016,Sao Paulo $25K,2843
2016,Liberec CH,2840
2016,Las Vegas NV $50K,2827
2016,Sassuolo $10K,2824
2016,Trieste $10K,2823
2016,Meknes CH,2814
2016,Metz,2812
2016,Wuhan $50K,2810
2016,Schoonhoven $10K,2810
2016,Cordenons CH,2807
2016,Poitiers $100K,2806
2016,Nanchang,2802
2016,Japan Open Tokyo,2801
2016,Equeurdreville $25K,2787
2016,Lenzerheide $25K,2783
2016,Gwangju CH,2772
2016,Kharkiv $10K,2767
2016,Aschaffenburg $25K,2766
2016,Tiburon CH,2755
2016,Lubbock TX $25K,2755
2016,Sezze $10K,2749
2016,Andijan $25K,2746
2016,Morelos CH,2744
2016,Antwerp,2738
2016,Canberra $50K,2737
2016,Marseille,2735
2016,Happy Valley CH,2730
2016,Campinas CH,2728
2016,Wroclaw CH,2727
2016,Cortina CH,2719
2016,Quebec City,2717
2016,Zawada Near Opole $25K,2710
2016,Stuttgart Stammheim $10K,2707
2016,Tashkent CH,2703
2016,Olomouc $50K,2701
2016,Atlanta GA $50K,2687
2016,Liuzhou $50K,2684
2016,Cordenons $10K,2682
2016,Lyon CH,2680
2016,Hamburg,2679
2016,Dothan AL $50K,2677
2016,Rabat $10K,2670
2016,Midland MI $100K,2664
2016,Schio $10K,2659
2016,Helsingborg $25K,2652
2016,Granby CH,2650
2016,Makinohara $25K,2645
2016,Szczecin CH,2642
2016,Brest CH,2639
2016,Evansville IN $10K,2631
2016,Curitiba CH,2619
2016,Irving CH,2618
2016,Kurume $50K,2608
2016,Nongbo CH,2597
2016,Stockton CA $50K,2593
2016,Todi CH,2591
2016,Nonthaburi $25K,2582
2016,Maui HI $50K,2578
2016,St Poelten $10K,2573
2016,Ilkley CH,2558
2016,Focsani $10K,2548
2016,Tallahassee CH,2542
2016,Iizuka $25K,2541
2016,Contrexeville $100K,2537
2016,Budapest $50K,2533
2016,Poprad CH,2532
2016,Fukuoka $50K,2523
2016,Dubai $100K,2515
2016,Bordeaux CH,2511
2016,Stuttgart Vaihingen $25K,2509
2016,Manisa $10K,2507
2016,Tiberias $10K,2501
2016,Katowice,2491
2016,Solapur $10K,2490
2016,Parnu $10K,2486
2016,Bad Saulgau $25K,2483
2016,Kiryat Shmona $10K,2483
2016,Padova $25K,2482
2016,Benicarlo $10K,2464
2016,Nanjing CH,2462
2016,Sao Paulo CH,2455
2016,Stanford,2450
2016,Sao Paulo,2441
2016,Raanana CH,2435
2016,Mons CH,2433
2016,Santos CH,2422
2016,Beinasco $25K,2413
2016,Nieuwpoort $10K,2406
2016,Banja Luka $10K,2382
2016,Melilla $10K,2374
2016,Tucepi $10K,2374
2016,'s Hertogenbosch,2366
2016,s Hertogenbosch,2366
2016,Montpellier $25K,2364
2016,Las Vegas CH,2353
2016,Mouilleron-Le-Captif CH,2337
2016,Puebla CH,2333
2016,Budapest $100K,2332
2016,Birmingham,2302
2016,Cairns $25K,2296
2016,Buenos Aires,2276
2016,Glasgow $10K,2251
2016,Leipzig $25K,2246
2016,El Paso TX $25K,2243
2016,Taipei,2242
2016,Fergana $25K,2240
2016,Linz,2236
2016,Port Pirie $25K,2235
2016,Podgorica $25K,2205
2016,Prostejov CH,2204
2016,Guiyang $25K,2203
2016,Manama $10K,2201
2016,Gifu $75K,2169
2016,Saint Petersburg $100K,2157
2016,Imola $25K,2156
2016,Iasi $10K,2155
2016,Segovia CH,2146
2016,Bratislava CH,2144
2016,Bucaramanga CH,2143
2016,La Paz $10K,2143
2016,Cary CH,2136
2016,Wesley Chapel FL $25K,2131
2016,Breda $10K,2113
2016,Bogota,2109
2016,Andria CH,2079
2016,Denain $25K,2078
2016,Moscow CH,2050
2016,Amarante $10K,2041
2016,Lima CH,2040
2016,Tsukuba $25K,2040
2016,Samarkand CH,2038
2016,Cakovec $10K,2017
2016,Lexington KY $50K,2008
2016,La Reunion $10K,1983
2016,Sarasota CH,1940
2016,Kyoto CH,1928
2016,Mendoza CH,1900
2016,Casablanca CH,1898
2016,Rome $25K,1824
2016,Tarakan $10K,1813
2016,Bratislava $25K,1752
2016,Winnipeg CH,1738
2016,Trnava $100K,1705
2016,Alphen A D Rijn $10K,1655
2016,Orleans CH,1536
2016,Fort de France Martinique $10K,1442
2016,Prague $75K,1422
2016,Vienna,1415
2016,Bad Waltersdorf $10K,1303
2016,Zhuhai,1265
2016,Hechingen $25K,1199
2016,Tour Finals,1056
2016,Singapore,904
2016,Nis $10K,889
2016,Davis Cup G1 R2: RUS vs NED,586
2016,Davis Cup G1 R2: CHN vs UZB,539
2016,Davis Cup G1 R1: CHI vs DOM,511
2016,Fed Cup WG2 R1: USA vs POL,509
2016,Davis Cup G2 R1: MEX vs GUA,502
2016,Davis Cup G1 R2: CHI vs COL,499
2016,Davis Cup G2 R2: VIE vs THA,495
2016,Davis Cup G2 R1: MON vs LAT,486
2016,Davis Cup WG SF: GBR vs ARG,482
2016,Fed Cup WG2 R1: CAN vs BLR,479
2016,Davis Cup G2 R2: LTU vs RSA,474
2016,Davis Cup WG PO: KAZ vs RUS,474
2016,Davis Cup G1 R2: UKR vs AUT,472
2016,Davis Cup WG QF: USA vs CRO,466
2016,Fed Cup WG R1: RUS vs BLR,465
2016,Davis Cup G1 R1: ROU vs SLO,461
2016,Davis Cup G2 R3: PER vs VEN,461
2016,Davis Cup G2 R1: PUR vs ESA,459
2016,Davis Cup G2 R2: TPE vs PHI,456
2016,Davis Cup G2 R1: ZIM vs FIN,456
2016,Davis Cup G2 R1: BIH vs TUN,451
2016,Davis Cup G2 R1: URU vs PER,449
2016,Davis Cup G1 R2: IND vs KOR,442
2016,Fed Cup WG2 R1: ESP vs SRB,442
2016,Fed Cup WG SF: FRA vs NED,432
2016,Davis Cup G1 R2: ESP vs ROU,430
2016,Davis Cup WG R1: GER vs CZE,430
2016,Davis Cup WG QF: ITA vs ARG,430
2016,Fed Cup WG2 R1: POL vs TPE,424
2016,Davis Cup G2 R1: VIE vs INA,422
2016,Fed Cup WG R1: AUS vs USA,421
2016,Fed Cup WG R1: ITA vs ESP,421
2016,Davis Cup WG R1: CRO vs BEL,420
2016,Fed Cup WG2 R1: CAN vs SVK,419
2016,Fed Cup WG R1: GER vs SUI,413
2016,Davis Cup G2 R1: BUL vs TUR,411
2016,Davis Cup G1 R2: BRA vs ECU,408
2016,Davis Cup G2 R1: PHI vs KUW,407
2016,Davis Cup G2 R1: TPE vs MAS,405
2016,Davis Cup WG PO: GER vs POL,405
2016,Fed Cup WG R1: FRA vs ITA,405
2016,Davis Cup WG PO: AUS vs SVK,403
2016,Davis Cup G2 R3: LTU vs BIH,396
2016,Fed Cup WG2 R1: ARG vs UKR,394
2016,Davis Cup G2 R2: ESA vs VEN,392
2016,Davis Cup G2 R1: LTU vs NOR,392
2016,Fed Cup WG2 R1: SRB vs BEL,389
2016,Fed Cup WG SF: CZE vs SUI,384
2016,Davis Cup WG PO: ESP vs IND,384
2016,Davis Cup G2 R1: SRI vs THA,383
2016,Davis Cup G1 R1: HUN vs ISR,379
2016,Davis Cup WG R1: GBR vs JPN,376
2016,Davis Cup WG QF: GBR vs SRB,372
2016,Davis Cup WG R1: USA vs AUS,371
2016,Davis Cup G2 R1: PAR vs VEN,368
2016,Davis Cup G2 R2: TUR vs BIH,366
2016,Davis Cup WG PO: JPN vs UKR,362
2016,Davis Cup G2 R2: FIN vs DEN,358
2016,Davis Cup G2 R2: PER vs MEX,354
2016,Davis Cup G1 R1: RUS vs SWE,350
2016,Davis Cup G1 R2: HUN vs SVK,345
2016,Davis Cup WG PO: SUI vs UZB,340
2016,Davis Cup G2 R1: EGY vs BLR,339
2016,Fed Cup WG2 R1: AUS vs SVK,338
2016,Fed Cup WG R1: GER vs ROU,332
2016,Fed Cup WG F: CZE vs FRA,327
2016,Davis Cup WG R1: SRB vs KAZ,321
2016,Davis Cup WG QF: FRA vs CZE,321
2016,Davis Cup WG F: ARG vs CRO,317
2016,Davis Cup WG R1: ARG vs POL,315
2016,Davis Cup WG PO: BEL vs BRA,314
2016,Davis Cup WG R1: CAN vs FRA,312
2016,Fed Cup WG R1: CZE vs ROU,308
2016,Davis Cup G1 R1: POR vs AUT,305
2016,Davis Cup G1 R1: PAK vs CHN,299
2016,Fed Cup G2 RR: FIN vs DEN,297
2016,Davis Cup G2 R1: RSA vs LUX,295
2016,Fed Cup WG R1: NED vs RUS,291
2016,Davis Cup G2 R3: BLR vs DEN,287
2016,Fed Cup G2 RR: MAS vs KGZ,281
2016,Fed Cup G2 PM: IRI vs SRI,280
2016,Davis Cup G1 R1: BAR vs ECU,275
2016,Fed Cup G2 RR: LIE vs AUT,274
2016,Davis Cup WG SF: FRA vs CRO,274
2016,Davis Cup G1 R1: NZL vs KOR,273
2016,Fed Cup G2 RR: AUT vs BIH,266
2016,Davis Cup G2 R3: TPE vs THA,261
2016,Fed Cup G2 PPO: LTU vs AUT,259
2016,Davis Cup WG R1: SUI vs ITA,258
2016,Fed Cup G2 RR: CHI vs CRC,255
2016,Davis Cup WG PO: CAN vs CHI,254
2016,Fed Cup G1 RR: PAR vs BOL,251
2016,Davis Cup G2 R1: GEO vs DEN,248
2016,Fed Cup G1 RR: KAZ vs TPE,246
2016,Fed Cup G1 RR: CRO vs ISR,245
2016,Fed Cup G1 RR: KAZ vs CHN,243
2016,Fed Cup G1 RR: BUL vs LAT,242
2016,Fed Cup G1 RR: PAR vs COL,240
2016,Fed Cup G1 RR: GEO vs RSA,239
2016,Fed Cup G1 RR: ARG vs BRA,238
2016,Fed Cup G1 PM: MEX vs BRA,237
2016,Fed Cup G1 RR: KOR vs TPE,236
2016,Fed Cup G2 RR: VEN vs CHI,234
2016,Fed Cup G2 RR: INA vs MAS,234
2016,Fed Cup G2 RR: PUR vs URU,232
2016,Davis Cup G2 R2: LAT vs BLR,232
2016,Fed Cup G1 RR: UZB vs IND,232
2016,Fed Cup G2 RR: PUR vs BAH,232
2016,Fed Cup G2 RR: DOM vs URU,231
2016,Fed Cup G2 RR: PHI vs HKG,231
2016,Fed Cup G1 REL: RSA vs HUN,229
2016,Fed Cup G2 RR: KGZ vs SRI,228
2016,Fed Cup G2 RR: GUA vs PUR,228
2016,Fed Cup G2 PPO: PHI vs SIN,226
2016,Fed Cup G2 RR: VEN vs HON,225
2016,Fed Cup G1 PPO: BEL vs GBR,224
2016,Fed Cup G2 RR: PAK vs SRI,224
2016,Fed Cup G2 RR: PHI vs BRN,223
2016,Fed Cup G2 RR: DOM vs PUR,223
2016,Fed Cup G1 RR: COL vs MEX,221
2016,Fed Cup G2 RR: MAS vs SIN,220
2016,Fed Cup G2 RR: CHI vs HON,216
2016,Fed Cup G1 RR: HUN vs BEL,216
2016,Fed Cup G2 RR: IRI vs BRN,214
2016,Fed Cup G1 RR: HUN vs LAT,212
2016,Fed Cup G2 RR: LIE vs EGY,212
2016,Fed Cup G1 RR: JPN vs IND,211
2016,Fed Cup G1 RR: JPN vs THA,208
2016,Fed Cup G1 RR: MEX vs BOL,208
2016,Fed Cup G2 RR: LIE vs BIH,207
2016,Fed Cup G2 RR: DOM vs GUA,205
2016,Fed Cup G1 REL: COL vs ECU,204
2016,Fed Cup G2 PM: DOM vs CRC,204
2016,Fed Cup G1 PM: THA vs CHN,204
2016,Fed Cup G1 RR: ECU vs PER,202
2016,Fed Cup G1 RR: CHN vs KOR,201
2016,Fed Cup G2 RR: BAH vs URU,201
2016,Fed Cup G2 RR: SIN vs KGZ,200
2016,Fed Cup G1 RR: TUR vs EST,200
2016,Fed Cup G1 RR: PAR vs MEX,199
2016,Fed Cup G2 RR: MAS vs SRI,198
2016,Fed Cup G2 RR: CRC vs HON,198
2016,Fed Cup G1 RR: KAZ vs KOR,197
2016,Fed Cup G2 RR: VEN vs CRC,196
2016,Fed Cup G2 PM: BRN vs PAK,196
2016,Fed Cup G2 RR: EGY vs AUT,196
2016,Fed Cup G2 RR: LTU vs DEN,195
2016,Fed Cup G1 RR: GBR vs GEO,194
2016,Fed Cup G1 RR: BRA vs ECU,194
2016,Fed Cup G2 RR: GUA vs URU,193
2016,Fed Cup G1 RR: UKR vs POR,192
2016,Fed Cup G1 RR: JPN vs UZB,192
2016,Fed Cup G1 RR: ARG vs PER,191
2016,Fed Cup G2 RR: INA vs SRI,188
2016,Fed Cup G2 RR: DOM vs BAH,186
2016,Fed Cup G1 REL: UZB vs KOR,184
2016,Fed Cup G2 RR: POC vs IRI,184
2016,Fed Cup G2 RR: INA vs PAK,183
2016,Fed Cup G2 PPO: DEN vs BIH,183
2016,Fed Cup G2 REL: EGY vs FIN,183
2016,Fed Cup G1 RR: BRA vs PER,182
2016,Fed Cup G1 RR: CHN vs TPE,181
2016,Fed Cup G2 RR: HKG vs POC,180
2016,Fed Cup G1 RR: CRO vs TUR,179
2016,Fed Cup G1 RR: GBR vs RSA,178
2016,Fed Cup G2 RR: POC vs BRN,177
2016,Fed Cup G1 RR: BEL vs BUL,174
2016,Fed Cup G1 RR: ARG vs ECU,174
2016,Fed Cup G2 RR: GUA vs BAH,173
2016,Fed Cup G1 RR: THA vs UZB,171
2016,Fed Cup G1 RR: SWE vs POR,171
2016,Fed Cup G2 RR: PHI vs IRI,170
2016,Fed Cup G2 RR: HKG vs BRN,170
2016,Fed Cup G1 REL: BOL vs PER,169
2016,Fed Cup G2 PM: HKG vs MAS,169
2016,Fed Cup G2 RR: SIN vs PAK,167
2016,Fed Cup G2 RR: INA vs SIN,166
2016,Fed Cup G1 RR: THA vs IND,166
2016,Fed Cup G1 PPO: JPN vs TPE,165
2016,Fed Cup G1 PPO: UKR vs ISR,165
2016,Fed Cup G2 PPO: VEN vs GUA,163
2016,Fed Cup G1 RR: TUR vs ISR,162
2016,Fed Cup G1 RR: SWE vs UKR,162
2016,Fed Cup G2 RR: INA vs KGZ,160
2016,Fed Cup G2 RR: PHI vs POC,160
2016,Fed Cup G1 RR: CRO vs EST,159
