date_id,day,month,year,quarter
20160801,01,08,2016,Q3
20160815,15,08,2016,Q3
20160822,22,08,2016,Q3
20160829,29,08,2016,Q3
20160620,20,06,2016,Q2
20160711,11,07,2016,Q3
20160725,25,07,2016,Q3
20161205,05,12,2016,Q4
20160321,21,03,2016,Q1
20160328,28,03,2016,Q1
20160404,04,04,2016,Q2
20160411,11,04,2016,Q2
20160418,18,04,2016,Q2
20160926,26,09,2016,Q3
20161003,03,10,2016,Q4
20160613,13,06,2016,Q2
20160229,29,02,2016,Q1
20160307,07,03,2016,Q1
20160314,14,03,2016,Q1
20161031,31,10,2016,Q4
20160516,16,05,2016,Q2
20161010,10,10,2016,Q4
20160111,11,01,2016,Q1
20160118,18,01,2016,Q1
20160125,25,01,2016,Q1
20160208,08,02,2016,Q1
20160215,15,02,2016,Q1
20160222,22,02,2016,Q1
20160627,27,06,2016,Q2
20160808,08,08,2016,Q3
20161128,28,11,2016,Q4
20160523,23,05,2016,Q2
20161219,19,12,2016,Q4
20160104,04,01,2016,Q1
20200106,06,01,2020,Q1
20200113,13,01,2020,Q1
20200120,20,01,2020,Q1
20200203,03,02,2020,Q1
20200210,10,02,2020,Q1
20200217,17,02,2020,Q1
20200224,24,02,2020,Q1
20200824,24,08,2020,Q3
20200831,31,08,2020,Q3
20200907,07,09,2020,Q3
20200914,14,09,2020,Q3
20200921,21,09,2020,Q3
20200928,28,09,2020,Q3
20201012,12,10,2020,Q4
20201019,19,10,2020,Q4
20201026,26,10,2020,Q4
20201102,02,11,2020,Q4
20201109,09,11,2020,Q4
20201116,16,11,2020,Q4
20200306,06,03,2020,Q1
20210104,04,01,2021,Q1
20210105,05,01,2021,Q1
20210201,01,02,2021,Q1
20210202,02,02,2021,Q1
20210208,08,02,2021,Q1
20210222,22,02,2021,Q1
20210301,01,03,2021,Q1
20210308,08,03,2021,Q1
20210315,15,03,2021,Q1
20210322,22,03,2021,Q1
20210405,05,04,2021,Q2
20210412,12,04,2021,Q2
20210419,19,04,2021,Q2
20210426,26,04,2021,Q2
20210503,03,05,2021,Q2
20210510,10,05,2021,Q2
20210517,17,05,2021,Q2
20210524,24,05,2021,Q2
20210531,31,05,2021,Q2
20210607,07,06,2021,Q2
20210614,14,06,2021,Q2
20210621,21,06,2021,Q2
20210628,28,06,2021,Q2
20210712,12,07,2021,Q3
20210719,19,07,2021,Q3
20210726,26,07,2021,Q3
20210724,24,07,2021,Q3
20210802,02,08,2021,Q3
20210809,09,08,2021,Q3
20210816,16,08,2021,Q3
20210823,23,08,2021,Q3
20171031,31,10,2017,Q4
20170209,09,02,2017,Q1
20170210,10,02,2017,Q1
20170211,11,02,2017,Q1
20170720,20,07,2017,Q3
20170721,21,07,2017,Q3
20170719,19,07,2017,Q3
20170722,22,07,2017,Q3
20170421,21,04,2017,Q2
20170422,22,04,2017,Q2
20171111,11,11,2017,Q4
20160203,03,02,2016,Q1
20160204,04,02,2016,Q1
20160205,05,02,2016,Q1
20160206,06,02,2016,Q1
20160202,02,02,2016,Q1
20160412,12,04,2016,Q2
20160415,15,04,2016,Q2
20160413,13,04,2016,Q2
20160414,14,04,2016,Q2
20160416,16,04,2016,Q2
20161112,12,11,2016,Q4
20180910,10,09,2018,Q3
20180402,02,04,2018,Q2
20180129,29,01,2018,Q1
20180209,09,02,2018,Q1
20180208,08,02,2018,Q1
20180207,07,02,2018,Q1
20180210,10,02,2018,Q1
20180620,20,06,2018,Q2
20180621,21,06,2018,Q2
20180622,22,06,2018,Q2
20180623,23,06,2018,Q2
20180719,19,07,2018,Q3
20180720,20,07,2018,Q3
20180718,18,07,2018,Q3
20180721,21,07,2018,Q3
20180206,06,02,2018,Q1
20180418,18,04,2018,Q2
20180420,20,04,2018,Q2
20180419,19,04,2018,Q2
20180421,21,04,2018,Q2
20181110,10,11,2018,Q4
20200127,27,01,2020,Q1
20200302,02,03,2020,Q1
20200309,09,03,2020,Q1
20200817,17,08,2020,Q3
20201005,05,10,2020,Q4
20201123,23,11,2020,Q4
20201130,30,11,2020,Q4
20210110,10,01,2021,Q1
20210117,17,01,2021,Q1
20210124,24,01,2021,Q1
20210131,31,01,2021,Q1
20210207,07,02,2021,Q1
20210214,14,02,2021,Q1
20210329,29,03,2021,Q1
20210705,05,07,2021,Q3
20190909,09,09,2019,Q3
20190401,01,04,2019,Q2
20191216,16,12,2019,Q4
20191022,22,10,2019,Q4
20190128,28,01,2019,Q1
20190603,03,06,2019,Q2
20190121,21,01,2019,Q1
20190208,08,02,2019,Q1
20190206,06,02,2019,Q1
20190207,07,02,2019,Q1
20190209,09,02,2019,Q1
20190418,18,04,2019,Q2
20190419,19,04,2019,Q2
20190417,17,04,2019,Q2
20190420,20,04,2019,Q2
20190416,16,04,2019,Q2
20191109,09,11,2019,Q4
20210106,06,01,2021,Q1
20210203,03,02,2021,Q1
20210213,13,02,2021,Q1
20210307,07,03,2021,Q1
20210429,29,04,2021,Q2
20210417,17,04,2021,Q2
20190708,08,07,2019,Q3
20191104,04,11,2019,Q4
20190902,02,09,2019,Q3
20190325,25,03,2019,Q1
20190311,11,03,2019,Q1
20180326,26,03,2018,Q1
20180709,09,07,2018,Q3
20180604,04,06,2018,Q2
20180903,03,09,2018,Q3
20180122,22,01,2018,Q1
20180312,12,03,2018,Q1
20181119,19,11,2018,Q4
20200803,03,08,2020,Q3
20200810,10,08,2020,Q3
20200205,05,02,2020,Q1
20200207,07,02,2020,Q1
20200206,06,02,2020,Q1
20200208,08,02,2020,Q1
20200304,04,03,2020,Q1
20200303,03,03,2020,Q1
20200307,07,03,2020,Q1
20200305,05,03,2020,Q1
20200204,04,02,2020,Q1
20180605,05,06,2018,Q2
20181203,03,12,2018,Q4
20181126,26,11,2018,Q4
20181210,10,12,2018,Q4
20181217,17,12,2018,Q4
20191125,25,11,2019,Q4
20191202,02,12,2019,Q4
20191209,09,12,2019,Q4
20191230,30,12,2019,Q4
20160304,04,03,2016,Q1
20160715,15,07,2016,Q3
20160916,16,09,2016,Q3
20161125,25,11,2016,Q4
20170203,03,02,2017,Q1
20170217,17,02,2017,Q1
20170407,07,04,2017,Q2
20170915,15,09,2017,Q3
20171124,24,11,2017,Q4
20210111,11,01,2021,Q1
20210118,18,01,2021,Q1
20210125,25,01,2021,Q1
20210215,15,02,2021,Q1
20201207,07,12,2020,Q4
20201214,14,12,2020,Q4
20201221,21,12,2020,Q4
20201228,28,12,2020,Q4
