tourney_id,old_tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
180,2018-M-DC-2018-G2-AM-M-VEN-GUA-01,20180203,Davis Cup G2 R1: VEN vs GUA,Hard,4,D,421,78864.64
181,2018-0375,20180205,Montpellier,Hard,32,A,3686,818569.48
182,2018-7161,20180205,Quito,Clay,32,A,3340,675776.65
183,2018-7434,20180205,Sofia,Hard,32,A,3027,490046.5
184,2018-0506,20180212,Buenos Aires,Clay,32,A,3081,693203.33
185,2018-0424,20180212,New York,Hard,32,A,4181,1102491.53
186,2018-0407,20180212,Rotterdam,Hard,32,A,3634,644339.02
187,2018-0499,20180219,Delray Beach,Hard,32,A,3118,630324.2
188,2018-0496,20180219,Marseille,Hard,32,A,3620,645356.89
189,2018-6932,20180219,Rio de Janeiro,Clay,32,A,3003,634461.02
190,2018-M004,20180226,Acapulco,Hard,32,A,4113,867654.47
191,2018-M004,20180226,Acapulco,Hard,32,I,4113,867654.47
192,2018-0495,20180226,Dubai,Hard,32,A,4743,906337.38
193,2018-0533,20180226,Sao Paulo,Clay,32,A,3085,640732.47
194,2018-M006,20180305,Indian Wells Masters,Hard,128,M,12311,1440594.0
195,2018-M006,20180305,Indian Wells,Hard,128,PM,12311,1440594.0
196,2018-M007,20180319,Miami Masters,Hard,128,M,13375,3601609.54
197,2018-M007,20180319,Miami,Hard,128,PM,13375,3601609.54
198,2018-M-DC-2018-G1-AM-M-ARG-CHI-01,20180406,Davis Cup G1 R2: ARG vs CHI,Clay,4,D,426,85412.09
199,2018-M-DC-2018-G1-EPA-M-AUT-RUS-01,20180406,Davis Cup G1 R2: AUT vs RUS,Hard,4,D,391,80387.45
200,2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,20180406,Davis Cup G1 R2: BIH vs SVK,Clay,4,D,475,88199.99
201,2018-M-DC-2018-G1-AM-M-COL-BRA-01,20180406,Davis Cup G1 R2: COL vs BRA,Hard,4,D,419,83736.32
202,2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,20180406,Davis Cup G1 R2: CZE vs ISR,Clay,4,D,458,88340.52
203,2018-M-DC-2018-G1-AO-M-IND-CHN-01,20180406,Davis Cup G1 R2: IND vs CHN,Hard,4,D,324,59791.04
204,2018-M-DC-2018-G1-AO-M-PAK-UZB-01,20180406,Davis Cup G1 R2: PAK vs UZB,Grass,4,D,491,100012.46
205,2018-M-DC-2018-G1-EPA-M-POR-SWE-01,20180406,Davis Cup G1 R2: POR vs SWE,Hard,4,D,519,100304.43
206,2018-M-DC-2018-WG-M-ESP-GER-01,20180406,Davis Cup WG QF: ESP vs GER,Clay,4,D,412,80260.55
207,2018-M-DC-2018-WG-M-FRA-ITA-01,20180406,Davis Cup WG QF: FRA vs ITA,Clay,4,D,333,67159.78
208,2018-M-DC-2018-WG-M-KAZ-CRO-01,20180406,Davis Cup WG QF: KAZ vs CRO,Clay,4,D,274,52625.37
209,2018-M-DC-2018-WG-M-USA-BEL-01,20180406,Davis Cup WG QF: USA vs BEL,Hard,4,D,410,78257.44
210,2018-M-DC-2018-G2-EPA-M-EGY-DEN-01,20180407,Davis Cup G2 R2: EGY vs DEN,Hard,4,D,396,79565.28
211,2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,20180407,Davis Cup G2 R2: FIN vs LTU,Hard,4,D,432,87113.19
212,2018-M-DC-2018-G2-AO-M-HKG-LBN-01,20180407,Davis Cup G2 R2: HKG vs LBN,Hard,4,D,436,88631.46
213,2018-M-DC-2018-G2-AM-M-MEX-PER-01,20180407,Davis Cup G2 R2: MEX vs PER,Hard,4,D,563,108515.07
214,2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,20180407,Davis Cup G2 R2: POL vs ZIM,Hard,4,D,363,78404.35
215,2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,20180407,Davis Cup G2 R2: ROU vs MAR,Hard,4,D,419,86193.23
216,2018-M-DC-2018-G2-AO-M-THA-PHI-01,20180407,Davis Cup G2 R2: THA vs PHI,Clay,4,D,278,56010.75
217,2018-M-DC-2018-G2-AM-M-VEN-URU-01,20180407,Davis Cup G2 R2: VEN vs URU,Clay,4,D,416,86856.62
218,2018-0717,20180409,Houston,Clay,32,A,4134,640731.51
219,2018-0360,20180409,Marrakech,Clay,32,A,4975,1076272.11
220,2018-0410,20180416,Monte Carlo Masters,Clay,64,M,6671,1674385.39
221,2018-0425,20180423,Barcelona,Clay,64,A,5612,1082305.46
222,2018-7648,20180423,Budapest,Clay,32,A,3976,969609.76
223,2018-7290,20180430,Estoril,Clay,32,A,2814,517128.13
224,2018-7163,20180430,Istanbul,Clay,32,A,3063,677559.12
225,2018-0308,20180430,Munich,Clay,32,A,3578,717180.95
226,2018-M021,20180507,Madrid Masters,Clay,64,M,8052,1787950.47
227,2018-M021,20180507,Madrid,Clay,64,PM,8052,1787950.47
228,2018-M009,20180514,Rome Masters,Clay,64,M,8346,1618264.0
229,2018-M009,20180514,Rome,Clay,64,P,8346,1618264.0
230,2018-0322,20180521,Geneva,Clay,32,A,3325,802963.97
231,2018-7694,20180521,Lyon,Clay,32,A,3791,688541.6
232,2018-520,20180528,Roland Garros,Clay,128,G,15269,2154203.3
233,2018-M010,20180611,s Hertogenbosch,Grass,32,A,3199,763471.28
234,2018-M010,20180611,s-Hertogenbosch,Grass,32,I,3199,763471.28
235,2018-0321,20180611,Stuttgart,Grass,32,A,2600,486782.03
236,2018-0500,20180618,Halle,Grass,32,A,3509,627829.28
237,2018-0311,20180618,Queen's Club,Grass,32,A,2924,521107.46
238,2018-7650,20180625,Antalya,Grass,32,A,2865,648173.83
239,2018-M016,20180625,Eastbourne,Grass,32,A,5119,840513.24
240,2018-M016,20180625,Eastbourne,Grass,64,P,5119,840513.24
241,2018-540,20180702,Wimbledon,Grass,128,G,15979,3761778.69
242,2018-0316,20180716,Bastad,Clay,32,A,3684,670848.87
243,2018-0315,20180716,Newport,Grass,32,A,4300,1042468.28
244,2018-0439,20180716,Umag,Clay,32,A,3860,553049.23
245,2018-6116,20180723,Atlanta,Hard,32,A,2447,505775.49
246,2018-0314,20180723,Gstaad,Clay,32,A,1506,327165.29
247,2018-0414,20180723,Hamburg,Clay,32,A,3121,645332.51
248,2018-7480,20180730,Los Cabos,Hard,32,A,3627,654685.03
249,2018-0319,20180730,Kitzbuhel,Clay,32,A,2690,472559.62
250,2018-M035,20180730,Washington,Hard,64,A,3056,488110.86
251,2018-M035,20180730,Washington,Hard,32,I,3056,488110.86
252,2018-0421,20180806,Canada Masters,Hard,64,M,5628,1191762.82
253,2018-M024,20180813,Cincinnati Masters,Hard,64,M,5852,1426858.92
254,2018-M024,20180813,Cincinnati,Hard,64,PM,5852,1426858.92
255,2018-6242,20180820,Winston-Salem,Hard,64,A,8311,1593479.98
256,2018-560,20180827,US Open,Hard,128,G,12812,2492498.29
257,2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,20180914,Davis Cup G2 R3: EGY vs FIN,Clay,4,D,483,97939.06
258,2018-M-DC-2018-WG-PO-ARG-COL-01,20180914,Davis Cup WG PO: ARG vs COL,Clay,4,D,403,81773.09
259,2018-M-DC-2018-WG-PO-AUT-AUS-01,20180914,Davis Cup WG PO: AUT vs AUS,Clay,4,D,503,97698.89
260,2018-M-DC-2018-WG-PO-CAN-NED-01,20180914,Davis Cup WG PO: CAN vs NED,Hard,4,D,431,88900.96
261,2018-M-DC-2018-WG-PO-GBR-UZB-01,20180914,Davis Cup WG PO: GBR vs UZB,Hard,4,D,389,76863.83
262,2018-M-DC-2018-WG-PO-HUN-CZE-01,20180914,Davis Cup WG PO: HUN vs CZE,Clay,4,D,371,69362.45
263,2018-M-DC-2018-WG-PO-JPN-BIH-01,20180914,Davis Cup WG PO: JPN vs BIH,Hard,4,D,476,95798.04
264,2018-M-DC-2018-WG-PO-SRB-IND-01,20180914,Davis Cup WG PO: SRB vs IND,Clay,4,D,441,89799.77
265,2018-M-DC-2018-WG-PO-SUI-SWE-01,20180914,Davis Cup WG PO: SUI vs SWE,Hard,4,D,471,93121.27
266,2018-M-DC-2018-WG-M-CRO-USA-01,20180914,Davis Cup WG SF: CRO vs USA,Clay,4,D,482,100367.99
267,2018-M-DC-2018-WG-M-FRA-ESP-01,20180914,Davis Cup WG SF: FRA vs ESP,Hard,4,D,470,89152.74
268,2018-M-DC-2018-G2-EPA-M-ROU-POL-01,20180915,Davis Cup G2 R3: ROU vs POL,Clay,4,D,350,71162.92
269,2018-M-DC-2018-G2-AO-M-THA-LBN-01,20180915,Davis Cup G2 R3: THA vs LBN,Hard,4,D,352,68449.92
270,2018-M-DC-2018-G2-AM-M-URU-MEX-01,20180915,Davis Cup G2 R3: URU vs MEX,Clay,4,D,377,73309.69
271,2018-0341,20180917,Metz,Hard,32,A,4017,782344.76
272,2018-0568,20180917,St. Petersburg,Hard,32,A,3213,648250.1
273,2018-7581,20180924,Chengdu,Hard,32,A,3177,531009.95
274,2018-6967,20180924,Shenzhen,Hard,32,A,1755,328313.45
